id,email,privilegeID,password,first_name,last_name,dateHired,isBlocked
16,16@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Henry,Fitoria Jr,2018-07-20,FALSE
17,17@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Christian,Rosado,2018-11-16,FALSE
18,18@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Nichel,White,2018-11-16,FALSE
19,19@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Brienna,Brown,2019-01-08,FALSE
20,20@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Troy,Cotto,2019-01-08,FALSE
21,21@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Carlos,Villanueva,2001-04-12,FALSE
22,22@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Michael,Gorsline,2005-09-07,FALSE
23,23@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Robert,LaRicci,2012-09-07,FALSE
24,24@gmail.com,2,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Heather,Shry,2013-03-29,FALSE
25,25@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Edison,Cruz,2017-08-18,FALSE
26,26@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Elissa,Weintraub,2018-09-07,FALSE
27,27@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Josue,Mangual,2018-09-14,FALSE
28,28@gmail.com,3,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Julian,Guerra,2018-09-21,FALSE
29,29@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Maikel,Rodriguez,2007-03-27,FALSE
30,30@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Yosdany,Viera,2011-03-14,FALSE
31,31@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Gustavo,Giz,2016-09-23,FALSE
32,32@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Andrea,Romero,2009-07-29,FALSE
33,33@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Janielle,Ortiz,2016-11-29,FALSE
34,34@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Priscilla,Brown,1999-05-17,FALSE
35,35@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Nicole,Stewart,2008-03-24,FALSE
36,36@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Kyle,Swain,2016-07-25,FALSE
37,37@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Bryan,Morejon,2016-09-19,FALSE
38,38@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Garcia,Jose,2005-08-16,FALSE
39,39@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Michael,Alvarez,2008-07-07,FALSE
40,40@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Julian,Perez,2008-11-19,FALSE
41,41@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Shelby,Abramson,2016-03-29,FALSE
42,42@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Janette,Carballeira,2016-09-12,FALSE
43,43@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Carlos,Cabrera,2017-12-11,FALSE
44,44@gmail.com,4,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Jonatahan,Carrasco,2018-03-28,FALSE
45,45@gmail.com,1,$2y$10$MsZWN5L9a/Zx4Rf82OLsa.l1Vc6YujsToFGWkvZpWYMi1jh.bWIJq,Frank,Alvarado,1000-01-01,FALSE
